"0" 2 2 9 3 5 10 2 2 2 2 2 2 10 10 2 6 2 9 2 8
"1" 2 2 2 2 4 2 2 2 2 2 9 2 4 4 9 6 2 10 2 9
"2" 2 10 2 4 6 2 7 10 2 5 10 3 2 2 6 2 9 3 4 2
"3" 8 7 9 2 2 2 6 10 10 8 10 8 6 2 3 2 2 6 2 2
"4" 9 2 3 2 2 5 7 2 5 2 2 7 6 2 3 2 2 2 3 6
"5" 2 2 6 5 2 8 2 5 10 9 2 2 7 2 2 6 2 5 2 2
"6" 4 9 8 6 4 2 10 4 2 2 10 2 8 2 10 2 2 10 9 6
"7" 2 2 2 3 9 2 6 10 2 2 2 4 2 3 2 8 10 2 9 2
"8" 2 6 10 5 10 2 8 7 9 2 2 2 2 2 2 10 2 2 5 2
"9" 8 6 5 10 2 2 6 7 2 2 2 4 2 2 2 2 8 2 2 3
"10" 7 8 8 2 2 2 7 2 2 2 2 2 4 5 3 3 3 2 2 3
